City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,khandyga,62.6667,135.6,240.23,93,56,0.13,RU,1739158057
126,dawson creek,55.7666,-120.2362,249.95,84,0,1.54,CA,1739158059
127,mariinsk,56.2139,87.7472,265.43,91,100,6.2,RU,1739158060
128,sitka,57.0531,-135.33,273.73,85,90,1.41,US,1739158061
129,sandnessjoen,66.0217,12.6316,277.24,70,48,4.74,NO,1739158062
130,san patricio,28.017,-97.5169,295.12,92,0,3.05,US,1739158063
131,murzuq,25.9155,13.9184,283.07,52,0,3.11,LY,1739158064
132,kavaratti,10.5669,72.642,300.33,72,59,4.19,IN,1739158065
133,tando muhammad khan,25.123,68.5358,292.19,42,39,3.55,PK,1739158067
134,enewetak,11.3474,162.3373,300.27,76,63,7.84,MH,1739158068
135,west bay,19.3667,-81.4167,298.19,83,20,3.09,KY,1739158069
136,east london,-33.0153,27.9116,293.07,85,100,4.18,ZA,1739158070
137,smara,26.7384,-11.6719,286.88,20,43,2.31,EH,1739158071
138,klyuchi,52.2667,79.1667,262.61,96,99,4.56,RU,1739158072
139,whitehorse,60.7161,-135.0538,255.58,85,75,1.54,CA,1739158073
140,taltal,-25.4,-70.4833,292.8,91,35,1.73,CL,1739158074
141,naama,33.2667,-0.3167,281.0,43,0,2.81,DZ,1739158075
142,constantia,44.1833,28.65,269.65,70,17,6.11,RO,1739158076
143,callao,-12.0667,-77.15,299.1,83,75,4.63,PE,1739158077
144,bilibino,68.0546,166.4372,250.86,95,100,1.17,RU,1739158078
145,ribeira grande,38.5167,-28.7,286.91,84,92,2.24,PT,1739158079
146,ayame,5.6083,-3.1563,297.38,91,94,1.27,CI,1739158080
147,georgetown,5.4112,100.3354,305.11,58,20,2.06,MY,1739158081
148,keene,42.9337,-72.2781,265.2,93,0,3.09,US,1739158082
149,sao joao de pirabas,-0.7747,-47.1772,296.69,95,100,1.15,BR,1739158084
150,yerofey pavlovich,53.9667,121.9667,254.06,84,85,1.52,RU,1739158085
151,tazovsky,67.4667,78.7,269.42,94,100,7.43,RU,1739158086
152,talnakh,69.4865,88.3972,255.72,97,100,4.83,RU,1739158088
153,north bend,43.4065,-124.2243,278.1,87,0,3.09,US,1739158089
154,cannonvale,-20.2833,148.7,299.81,84,100,5.15,AU,1739158090
155,rondonopolis,-16.4708,-54.6356,294.69,92,44,1.28,BR,1739158091
156,arraial do cabo,-22.9661,-42.0278,297.02,91,92,6.45,BR,1739158092
157,dunedin,-45.8742,170.5036,286.93,86,100,0.89,NZ,1739158093
158,vadso,70.0744,29.7487,273.24,80,69,10.8,NO,1739158094
